"title","publication","date","original_url","excerpt","category","priority"
"Govt Panels Flag Issues With AgVa Ventilators Bought By PMCARES Fund","HuffPost India","June 24, 2020","https://www.huffingtonpost.in/entry/agva-ventilators-pmcares-covid-19-order_in_5ef1ea38c5b6001a27157ccd","","",""
"PMCARES Ventilator Maker AgVa Fudged Software To Hide Poor Performance, Ex-Employees Say","HuffPost India","July 4, 2020","https://qz.com/india/1811151/chinese-dating-apps-are-exploiting-loneliness-of-indias-men/","","",""
"Inside the five-year battle food companies have fought to resist stricter labelling norms","Mint","February 16, 2021","https://www.livemint.com/news/india/food-warning-labels-are-in-the-deep-freeze-11613403030011.html","","",""
"Inside India’s booming dark data economy","Rest of World","December 22, 2020","https://restofworld.org/2020/all-the-data-fit-to-sell/","Long read on India’s booming dark data economy: spyware, detectives, data brokers, scammers—all that and more. Thanks to lax privacy laws and high consumer demand, details on everything from how you shop to who you date are all for sale.","",""
"India is pinning hopes on apps in virus fight","Mint","April 10, 2020","https://www.livemint.com/news/india/india-is-pinning-hopes-on-apps-in-virus-fight-11586447095280.html","Indian public authorities are building apps—at least 17 are public—to fight COVID-19. In Mint, I wrote about the app ecosystem looking at two big products: Central government’s Aarogya Setu and Maharashtra government’s MahaKavach to explore what the apps can do, what they can’t and where we are headed when it comes to individual privacy.","",""
"The murky world of India’s fintech scams","Mint","March 24, 2020","https://www.livemint.com/news/india/the-murky-world-of-india-s-fintech-scams-11584975873895.html","Wallets and UPI have taken over the Indian digital payment ecosystem. The reduction of friction in payments is driving the growth of new businesses. But it is also orchestrating fraud: thousands of Indians experience digital payment frauds every day, with sums ranging from a few thousand rupees to several lakhs. Why do the scams persist? Why are we not able to find a solution?","",""
"How Modi, Shah Turned A Women’s NGO Into A Secret Election Propaganda Machine","HuffPost India","April 4, 2019","https://www.huffingtonpost.in/entry/how-modi-shah-turned-a-women-s-rights-ngo-into-a-secret-election-propaganda-machine_in_5ca5962ce4b05acba4dc1819","The story investigates the operations of Association of Billion Minds, BJP’s in-house secretive consulting unit that does everything from recommending election candidates to creating fake news sites and spread digital propaganda. The consultancy directly reported to the then party president Amit Shah, though the party doesn’t publicly acknowledge any links with the company. The story, based on review of company documents, cyber forensics, interviews and ground reportage, brings out previously un","",""
"4,925 Tweets: Elon Musk’s Twitter Habit, Dissected","Wall Street Journal","July 31, 2018","http://graphics.wsj.com/elon-musk-twitter-habit-analysis/ ","We analysed all tweets of Elon Musk. He shares life views, rebuts critics, teases business ideas—and causes controversy.","",""
"Misinformation Is Endangering India’s 2019 Election","The Atlantic","April 1, 2019","https://www.theatlantic.com/international/archive/2019/04/india-misinformation-election-fake-news/586123/","India is facing information wars of an unprecedented nature and scale. Indians are bombarded with fake news and divisive propaganda on a near-constant basis from a wide range of sources, from television news to global platforms like Facebook and WhatsApp. In this story, we map the misinformation ecosystem.","",""
"How  the fake-jobs industry scams Indians","Hindustan Times","October 10, 2017","https://www.hindustantimes.com/interactives/inside-fake-job-industry/","","",""
"Why India is falling behind in the Y2Q race","Livemint","January 15, 2020","https://www.livemint.com/technology/tech-news/why-india-is-falling-behind-in-the-y2q-race-11579018170008.html","Encryption forms the backbone of secure cyberspace. It helps to protect the data we send, receive or store. Behind the high degree of confidence in the security of the most commonly used encryption algorithms, like RSA, lies an assumption: modern computers, including the fastest supercomputers, will take forever to factor a large number that is a product of two prime numbers.","",""
"India’s proposed data protection act, explained","Livemint","December 12, 2019","https://www.livemint.com/news/india/big-brother-on-top-in-data-protection-bill-11576164271430.html","Indian parliament tabled the “Personal Data Protection Act, 2019” in December 2019. The bill is essentially a data governance framework that forces organizations dealing with people’s personal data to relook at data management, and regulates practices to protect individual privacy and personal data. It defines what they can and can’t do.In the story, I explain what the provisions of the proposed legislation mean for individuals, organisations, regulator and the government.","",""
"Fighting fake news: Decoding ‘fact-free’ world of WhatsApp","Hindustan Times","March 5, 2019","https://www.hindustantimes.com/india-news/decoding-fact-free-world-of-whatsapp/story-LQ79X96OOKrGo7MHuW3TMP.html ","We collected data from over 2000 politics-focussed public WhatsApp groups in the run-up to 2018 December assembly elections to identify themes that get viral in India’s “fake news” ecosystem. We report three key findings.","",""
"TikTok is taking over India","The Atlantic","November 15, 2019","https://www.theatlantic.com/international/archive/2019/11/india-tiktok-stars-are-outshining-traditional-celebrities/602059/","TikTok is currently the most downloaded mobile app in India, with more than 200 million users, and it’s shaping a new youth culture in which millions of young people—in big cities and small villages alike—are trying to be TikTok’s next big star. The results are both magical and nightmarish.","",""
"Narendra Modi App Has A Fake News Problem","HuffPost India","January 27, 2019","https://www.huffingtonpost.in/entry/narendra-modi-app-has-a-fake-news-problem_in_5c4d5c86e4b0287e5b8b6d52","The built-in social network of the personal mobile application of the Indian Prime Minister works like Twitter, where any user who signs up on the platform can post any piece of content (images, videos, website links). The visible lack of content moderation leaves the app as vulnerable to communal propaganda and fake news as Facebook, WhatsApp and Twitter. While the American platforms have come under scrutiny for the presence of misleading and polarising content, the NaMo app has been off the ra","",""
"Are India’s Electronic Voting Machines Secure?","The Juggernaut","April 24, 2019","https://thejuggernaut.com/article?id=3NWZbEMhERv2EWtNSKeQZ7","","",""
"India’s invitation to Huawei for 5G trials sparks concerns: Insufficient security safeguards plague telecom sector","Hindustan Times","December 30, 2018","https://www.hindustantimes.com/india-news/insufficient-safeguards-plague-telecom-sector/story-O3y4nLH2btTI5Y7VfSkpNI.html ","Why India’s invitation to Chinese telecom giant Huawei Technologies to participate in 5G trials has aroused  concern in security and technology establishments? Is India prepared for the telecom-related cyber threats?","",""
"Does popularity on Facebook translate into votes? Not really!","Hindustan Times","December 14, 2018","https://www.hindustantimes.com/india-news/dec14-facebook-win/story-SsThL7wyIi95JeMfL6tfoJ.html","Do engagements with politicians on Facebook reflect on-ground sentiment? If we go by the results of the five states that went to polls in November and December 2018, the answer is: not so much. At least, there is no strict correlation between leaders who grab attention on social media and those who get to rule the state.","",""
"Whom can political parties reach on Facebook and why it matters","Hindustan Times","November 29, 2018","https://www.hindustantimes.com/india-news/whom-can-political-parties-reach-on-facebook-and-why-it-matters/story-Q0SlECJ5xP9B7F0CYlJEYP.html","Facebook is used by 270 million Indians in the age group of 18-65 monthly, meaning political parties can reach an estimated 36% of the voting age population on the platform. Indian Facebook users, however, are skewed towards specific demographics. A Hindustan Times analysis of anonymous and aggregated data from Facebook’s advertising portal shows that the bulk of the platform’s Indian users are men, under the age of 30 and live in urban clusters. (Data as of November 2018)","",""
"Fake news and hate speech thrive on regional language social media","Hindustan Times","November 14, 2018","https://www.hindustantimes.com/opinion/how-regional-social-media-platforms-spew-fake-news-and-get-away-with-it/story-s8Kc2s4TKfne0ZRlXNuLuM.html","A Hindustan Times investigation has revealed that regional language social media platforms such as ShareChat, with 50 million registered users, and Helo, with at least 5 million estimated registered users, are rife with misinformation and political propaganda.","",""
"Gender gap in Indian formal sector worse than global average, LinkedIn data show","Hindustan Times","November 14, 2018","https://www.hindustantimes.com/india-news/gender-gap-in-indian-formal-sector-worse-than-global-average-linkedin-data-shows/story-yOtfsFNazeMZbOnjGL9a1I.html","The gender gap in the Indian formal sector is pervasive: at least 85% of the workforce comprises men in transportation, construction and manufacturing; in hi-tech, this proportion is around 72%, according to an analysis of LinkedIn data. Every industry sector in India employs more men than women. Moreover, the gender gap among Indian professionals is worse than the global average in every sector.The findings come from a Hindustan Times analysis of anonymous and aggregated data of around 50 milli","",""
"Aadhaar data security debate, explained","Hindustan Times","September 26, 2018","https://www.hindustantimes.com/india-news/from-data-security-to-use-of-biometrics-here-s-everything-you-need-to-know-about-the-aadhaar-case/story-ByL4tkRufS3qM13Hf4SGIM.html","Disagreements over Aadhaar data security and its implications for privacy continue. Whether Aadhaar is fully secure or fundamentally flawed depends on where one stands. The disagreements begin with definitions. For instance, what is a data leak? It extends to issues such as the use of biometrics for authentication and repercussions of Aadhaar numbers leak etc. Supporters dismiss as rare the instances critics highlight as Aadhaar’s vulnerabilities. In this story, I explain the arguments of both s","",""
"Smart user’s guide to the snooping game","Livemint","November 12, 2019","https://www.livemint.com/news/india/smart-user-s-guide-to-the-snooping-game-11573567241722.html","The WhatsApp-Pegasus hack has put the spotlight on surveillance abuse in India. Here’s the different ways that the government can learn about your whereabouts, and how you can try to stay ahead.","",""
"Games people play on Facebook comment threads","Livemint","April 3, 2019","https://www.livemint.com/elections/lok-sabha-elections/games-people-play-on-facebook-comment-threads-1554228802281.html","I reviewed the “most relevant” comments on the 50 most commented posts shared over a six month period on 18 popular Indian Facebook pages including most followed mainstream media pages in English and Hindi, accounts of national and regional politicians, and partisan political pages to explore the dynamics of the comment thread: With the introduction of algorithmic ranking which prioritizes “engagement”, the right Facebook comment at the right time on the right page is the new gateway to mass att","",""
"The geography of learning outcomes in India","Livemint","January 23, 2019","https://www.livemint.com/education/news/the-geography-of-learning-outcomes-in-india-1548178547466.html","There is a stark divide across rural India in learning outcomes, with better performing districts clustered in a few parts of the country, a Mint-HT analysis of two large data sets on learning outcomes show. The first data set is the unit-level data from the annual state of education report (ASER) 2016 survey, sourced from the non-governmental organization Pratham which conducts the ASER surveys. The second data set is the set of district-level report cards published by the National Council of E","",""
"How privilege shapes learning outcomes in India","Livemint","January 22, 2019","https://www.livemint.com/politics/policy/how-privilege-shapes-learning-outcomes-in-india-1548086593289.html","While the learning deficit in schools, especially government ones, has been recognized as a problem in the country, the role of privilege in driving differences in learning outcomes often does not get the attention it deserves. An analysis of unit-level data sourced from the ASER Centre in Delhi shows that household characteristics shape learning outcomes of children much more than the type of school (government or private) children attend.","",""
"The Patchwork of Policy Working to Fend off Misinformation","Centre for International Governance Innovation","October 4, 2019","https://www.cigionline.org/articles/patchwork-policy-working-fend-misinformation","Election-oriented misinformation is one of the most pressing issues of the information age. What have governments, tech companies and civil society done to tackle this challenge?","",""
"How the BJP Used Technology to Secure Modi’s Second Win","Centre for International Governance Innovation","June 12, 2019","https://www.cigionline.org/articles/how-bjp-used-technology-secure-modis-second-win","In 2017, Narenda Modi declared that the 2019 election would be fought on the smartphone — he was right. In India’s general election, the internet was instrumental in at least two vital aspects of the campaign: mobilizing and setting the narrative, and messaging and misinformation. I explain how.","",""
"How India voted in 2019 election? Here is what India Today-Axis My India post-poll study tells us","India Today","May 31, 2019","https://www.indiatoday.in/diu/story/how-india-voted-2019-lok-sabha-election-india-today-axis-my-india-poll-1539617-2019-05-31","Has the BJP been able to bridge the urban-rural gap in vote share in the 2019 election? Whom did women support? Did caste arithmetic fail in this election? Which party got support from which economic strata? Explore detailed polling data from India Today-Axis My India post-poll survey to find answers.","",""
"Decoded: Why 2019 was a worse year for Congress than 2014","India Today","May 25, 2019","https://www.indiatoday.in/diu/story/congress-performance-elections-2014-2019-bjp-rahul-gandhi-modi-1534753-2019-05-25","The Congress party won 52 seats in the 2019 Lok Sabha elections, just eight seats more than its 2014 tally. It’s vote share, 19.5 per cent, is almost the same as 2014. While the headline numbers show little change, a closer look at the numbers shows how the party struggled in 2019.","",""
"A Congress helping hand couldn’t have rescued the mahagathbandhan in UP either","India Today","May 24, 2019","https://www.indiatoday.in/elections/lok-sabha-2019/story/congress-gathbandhan-sp-bsp-alliance-uttar-pradesh-1534067-2019-05-24","The BJP tally in Uttar Pradesh is just nine short of its 2014 performance. Of the 80 seats in the state, the saffron party bagged 62; its ally Apna Dal got two. But could the verdict have changed if Congress was part of the alliance? Results say no. For the Grand Old Party could not even play the role of an effective vote-cutter, as Priyanka Gandhi had earlier claimed.","",""
"What did Narendra Modi talk about the most during his 2019 election campaign speeches?","India Today","May 19, 2019","https://www.indiatoday.in/diu/story/narendra-modi-campaign-speeches-opposition-development-national-security-1528791-2019-05-19","I randomly selected five speeches of Prime Minister Narendra Modi in key states, broke them down into four broad themes - greetings, attacks on opposition, schemes/development works and national security - and analysed the time he spent on each topic.","",""
"Is Congress helping gathbandhan in Uttar Pradesh?","India Today","April 30, 2019","https://www.indiatoday.in/elections/lok-sabha-2019/story/congress-gathbandhan-uttar-pradesh-1513230-2019-04-30","In the run-up to the 2019 election, I analysed candidate caste profiles of three major parties — BJP, Congress and Gathbandhan — to find out if the Congress party had tactically fielded candidates to cut into the votes of the BJP.","",""
"Behind the numbers: How India Today-Axis My India forecast seats","India Today","May 21, 2019","https://www.indiatoday.in/elections/lok-sabha-2019/story/behind-the-numbers-how-india-today-axis-my-india-forecasts-seats-1531359-2019-05-21 ","How does Axis My India forecast Indian elections? I explain the methodology of the post poll that correctly predicted 90% of the seats in the 2019 Indian general election.","",""
"Tech-Support Scams Prompt Google to Act","Wall Street Journal","August 31, 2018","https://www.wsj.com/articles/tech-support-scams-on-google-trigger-crackdown-1535755023","Following our Wall Street Journal investigation, Google takes action to weed out scam artists who advertise on its platform aiming to defraud customers seeking technical support.","",""
"Scare and sell: Here’s how an Indian call centre cheated foreign computer owners","Hindustan Times","April 10, 2017","https://www.hindustantimes.com/india-news/scare-and-sell-how-indian-call-centre-scammers-cheat-foreign-computer-owners/story-cTE5eHZIo3AkjvTJDhokAK.html","Studies suggest that 86% of phone-based tech support scams operate from India. A colleague and I investigated one such call center running from Gurgaon and uncovered how this industry functions.","",""
"Trolls Take Over Some Official U.S. Twitter Accounts","Wall Street Journal","May 3, 2018","https://www.wsj.com/articles/u-s-government-struggles-to-track-some-of-its-own-social-media-accounts-1525339800","The federal government’s troubles combating Russian trolls spreading fake news isn’t its only problem on social media. It is also struggling to keep track of which accounts are its own.","",""
"Think American Elections Are Bad? Indian Voters Get 1,000 Texts a Day","Wall Street Journal","May 15, 2018","https://www.wsj.com/articles/the-future-of-fake-news-in-india-1-000-whatsapp-messages-a-day-1526376217","How political campaigns in India are gaming WhatsApp: reaching millions of people through thousands of groups, automating broadcasts, spreading fake news and communcal propaganda through a content blackhole.","",""
"Faking it on WhatsApp: How India’s favourite messaging app is turning into a rumour mill","Hindustan Times","May 19, 2017","https://www.hindustantimes.com/india-news/faking-it-on-whatsapp-how-india-s-favourite-messaging-app-turned-into-a-rumour-mill/story-QAkM4RnF3NeeulOXlFDyUK.html","I expalin the dynamics that make WhatsApp a fake news machine. Remember: Medium is the metaphor and affects culture.","",""
"What every day in the Parliament looks like","Hindustan Times","August 23, 2017","https://www.hindustantimes.com/interactives/parliament-monsoon-session-2017-calendar/","Visual story: What does a parliamentarian’s workday actually look like? During the course of a legislative session, what do India’s elected leaders actually do? We created a calendar to monitor activities on every day of the Monsoon Session in 2017.","",""
